Plant ID,Length (px)
test_image_1_plant_1,563.3919189857877
test_image_1_plant_2,0.0
test_image_1_plant_3,255.98275605729717
test_image_1_plant_4,0.0
test_image_1_plant_5,0.0
test_image_10_plant_1,1144.3696244092025
test_image_10_plant_2,1643.9036790187215
test_image_10_plant_3,1258.5462479183388
test_image_10_plant_4,1302.972654789532
test_image_10_plant_5,1141.4751801064733
test_image_11_plant_1,1079.34018715768
test_image_11_plant_2,1417.5117600329334
test_image_11_plant_3,1456.754400720053
test_image_11_plant_4,1540.5411972844563
test_image_11_plant_5,1503.1757569573635
test_image_12_plant_1,1018.7594513539354
test_image_12_plant_2,1239.5239533417528
test_image_12_plant_3,931.5756851698615
test_image_12_plant_4,1005.4579361637707
test_image_12_plant_5,1024.8599564173237
test_image_13_plant_1,1443.582827844799
test_image_13_plant_2,1191.8477631085036
test_image_13_plant_3,1135.7422074112328
test_image_13_plant_4,1349.1442276647858
test_image_13_plant_5,1519.6417023478448
test_image_14_plant_1,0.0
test_image_14_plant_2,147.49747468305833
test_image_14_plant_3,0.0
test_image_14_plant_4,128.94112549695421
test_image_14_plant_5,0.0
test_image_15_plant_1,302.63961030678956
test_image_15_plant_2,284.4974746830585
test_image_15_plant_3,340.9238815542517
test_image_15_plant_4,344.2253967444165
test_image_15_plant_5,276.0538238691627
test_image_16_plant_1,400.79393923934043
test_image_16_plant_2,401.55129855222106
test_image_16_plant_3,0.0
test_image_16_plant_4,440.4924240491758
test_image_16_plant_5,408.99494936611717
test_image_17_plant_1,622.3330444827423
test_image_17_plant_2,688.7472580451152
test_image_17_plant_3,776.8355697996835
test_image_17_plant_4,822.1858582251284
test_image_17_plant_5,767.3036072312195
test_image_18_plant_1,619.5878784786812
test_image_18_plant_2,1152.5239533417534
test_image_18_plant_3,0.0
test_image_18_plant_4,1592.3889603929595
test_image_18_plant_5,1620.5899705197364
test_image_2_plant_1,1108.8549057834412
test_image_2_plant_2,176.05382386916244
test_image_2_plant_3,910.5168106668161
test_image_2_plant_4,1508.151370339723
test_image_2_plant_5,1225.671139599367
test_image_3_plant_1,138.79898987322332
test_image_3_plant_2,18.242640687119284
test_image_3_plant_3,44.72792206135785
test_image_3_plant_4,104.21320343559641
test_image_3_plant_5,56.313708498984745
test_image_4_plant_1,364.0660171779827
test_image_4_plant_2,321.3259018078048
test_image_4_plant_3,215.11269837220814
test_image_4_plant_4,315.07821048680285
test_image_4_plant_5,104.48528137423857
test_image_5_plant_1,268.4386001800128
test_image_5_plant_2,247.05382386916256
test_image_5_plant_3,70.31370849898475
test_image_5_plant_4,212.0121933088198
test_image_5_plant_5,215.95331880577436
test_image_6_plant_1,314.12489168102826
test_image_6_plant_2,498.7228714274752
test_image_6_plant_3,474.97770542341436
test_image_6_plant_4,463.89444430272886
test_image_6_plant_5,295.85281374238593
test_image_7_plant_1,400.25483399593924
test_image_7_plant_2,189.5979797464469
test_image_7_plant_3,65.24264068711929
test_image_7_plant_4,432.6518036156096
test_image_7_plant_5,491.59292911256426
test_image_8_plant_1,2145.41839764448
test_image_8_plant_2,2161.6265504461944
test_image_8_plant_3,2189.406204335658
test_image_8_plant_4,1838.0752518939753
test_image_8_plant_5,712.9655121145946
test_image_9_plant_1,585.1787155501911
test_image_9_plant_2,538.3675323681475
test_image_9_plant_3,675.6173157302044
test_image_9_plant_4,444.95331880577436
test_image_9_plant_5,666.4629867976531
