Plant ID,Length (px)
test_image_1_plant_1,567.6345596729069
test_image_1_plant_2,255.5685424949241
test_image_1_plant_3,0.0
test_image_1_plant_4,0.0
test_image_1_plant_5,0.0
test_image_10_plant_1,1651.5605332682137
test_image_10_plant_2,1144.1980515339487
test_image_10_plant_3,1119.7472580451156
test_image_10_plant_4,1300.144227664786
test_image_10_plant_5,207.68124086713192
test_image_11_plant_1,1503.4183976444829
test_image_11_plant_2,1539.9554108468294
test_image_11_plant_3,1476.9970414071722
test_image_11_plant_4,1093.3401871576798
test_image_11_plant_5,171.63961030678922
test_image_12_plant_1,1015.0020920410548
test_image_12_plant_2,1239.3523804664992
test_image_12_plant_3,1046.7594513539354
test_image_12_plant_4,1010.4579361637707
test_image_12_plant_5,929.7472580451154
test_image_13_plant_1,1526.298556597337
test_image_13_plant_2,1452.2396820942915
test_image_13_plant_3,1348.3868683519052
test_image_13_plant_4,1207.8477631085036
test_image_13_plant_5,1131.0853531617404
test_image_14_plant_1,136.8406204335659
test_image_14_plant_2,72.59797974644664
test_image_14_plant_3,129.76955262170043
test_image_14_plant_4,0.0
test_image_14_plant_5,0.0
test_image_15_plant_1,343.9238815542517
test_image_15_plant_2,297.81118318204335
test_image_15_plant_3,345.81118318204346
test_image_15_plant_4,280.8822509939089
test_image_15_plant_5,265.8406204335661
test_image_16_plant_1,419.0365799264598
test_image_16_plant_2,401.55129855222106
test_image_16_plant_3,435.6639969244295
test_image_16_plant_4,421.9949493661172
test_image_16_plant_5,70.18376618407355
test_image_17_plant_1,773.6639969244297
test_image_17_plant_2,776.2031021678312
test_image_17_plant_3,836.1858582251284
test_image_17_plant_4,621.5756851698615
test_image_17_plant_5,684.7472580451154
test_image_18_plant_1,1591.3889603929595
test_image_18_plant_2,1619.661038331602
test_image_18_plant_3,1152.867099092261
test_image_18_plant_4,599.9604614807117
test_image_18_plant_5,0.0
test_image_2_plant_1,1512.8082245892153
test_image_2_plant_2,1217.0142853498746
test_image_2_plant_3,1098.2691193458143
test_image_2_plant_4,917.7594513539353
test_image_2_plant_5,139.7401153701776
test_image_3_plant_1,140.3847763108502
test_image_3_plant_2,110.11269837220807
test_image_3_plant_3,53.970562748477136
test_image_3_plant_4,55.89949493661165
test_image_3_plant_5,0.0
test_image_4_plant_1,324.07821048680285
test_image_4_plant_2,382.3086578651021
test_image_4_plant_3,341.81118318204335
test_image_4_plant_4,103.89949493661166
test_image_4_plant_5,0.0
test_image_5_plant_1,250.71067811865493
test_image_5_plant_2,211.19595949289362
test_image_5_plant_3,249.05382386916256
test_image_5_plant_4,223.25483399593907
test_image_5_plant_5,72.55634918610404
test_image_6_plant_1,502.5340546095185
test_image_6_plant_2,497.3086578651021
test_image_6_plant_3,459.30865786510196
test_image_6_plant_4,283.26702730475904
test_image_6_plant_5,318.12489168102826
test_image_7_plant_1,491.4213562373104
test_image_7_plant_2,429.6518036156096
test_image_7_plant_3,396.66904755831234
test_image_7_plant_4,190.5979797464469
test_image_7_plant_5,68.24264068711929
test_image_8_plant_1,2132.832611206853
test_image_8_plant_2,1830.0752518939753
test_image_8_plant_3,713.5512985522215
test_image_8_plant_4,161.6934341759517
test_image_8_plant_5,141.94112549695427
test_image_9_plant_1,665.04877323528
test_image_9_plant_2,676.6173157302044
test_image_9_plant_3,587.764501987818
test_image_9_plant_4,540.9533188057744
test_image_9_plant_5,449.7817459305206
